Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,4.704500,4.790000,4.704500,4.778500,3.910747,79672939
2019-10-21,4.800000,4.908500,4.788000,4.892000,4.003636,117577506
2019-10-22,4.892500,4.919000,4.818000,4.887000,3.999544,124358854
2019-10-23,4.838000,4.924000,4.822500,4.908000,4.016731,65135072
2019-10-24,4.930000,4.967000,4.865500,4.886000,3.998726,67122400
2019-10-25,4.892000,4.930000,4.842000,4.885000,3.997907,29722210
2019-10-28,4.886000,4.905000,4.850000,4.882000,3.995452,12183891
2019-10-29,4.879000,4.893500,4.819000,4.856500,3.974583,23960745
2019-10-30,4.851000,4.864000,4.691000,4.734500,3.874737,33393432
2019-10-31,4.737000,4.754500,4.605500,4.723000,3.865326,24066080
2019-11-01,4.720000,4.738000,4.630500,4.733000,3.873510,22491433
2019-11-04,4.793500,4.890000,4.760000,4.878000,3.992178,21608587
2019-11-05,4.900000,4.973500,4.881000,4.954000,4.054377,29839757
2019-11-06,4.980000,5.035000,4.885000,4.904000,4.013457,19114256
2019-11-07,4.904000,4.998000,4.885000,4.989000,4.083021,18898037
2019-11-08,4.960000,5.004000,4.916000,4.958000,4.057651,27200291
2019-11-11,4.925000,4.965000,4.892000,4.943500,4.045784,14024272
2019-11-12,4.970500,5.002000,4.907500,4.916500,4.023687,18788260
2019-11-13,4.865000,4.880000,4.715000,4.756500,3.892742,26064497
2019-11-14,4.764500,4.774500,4.713500,4.740000,3.879239,13963545
2019-11-15,4.782000,4.806500,4.732500,4.767500,3.901744,18058110
2019-11-18,4.793000,4.822000,4.690500,4.735500,3.875556,16592162
2019-11-19,4.759500,4.823000,4.745000,4.762000,3.897244,12407940
2019-11-20,4.718500,4.741000,4.659500,4.726000,3.867781,12884699
2019-11-21,4.703000,4.772000,4.677500,4.761000,3.896426,13928950
2019-11-22,4.782000,4.854000,4.764500,4.797500,3.926297,19153160
2019-11-25,4.824000,4.866500,4.798000,4.815500,3.941028,10698076
2019-11-26,4.824000,4.824000,4.763500,4.791500,3.921386,19658412
2019-11-27,4.795000,4.849500,4.775000,4.828500,3.951667,18110871
2019-11-28,4.797500,4.819500,4.781500,4.807000,3.934072,12979706
2019-11-29,4.798000,4.831500,4.768000,4.781500,3.913202,15581654
2019-12-02,4.788000,4.843000,4.690500,4.693500,3.841183,26560961
2019-12-03,4.706500,4.729000,4.633000,4.657000,3.811311,46600285
2019-12-04,4.640500,4.749500,4.640500,4.729000,3.870236,28815581
2019-12-05,4.738000,4.785000,4.716000,4.724000,3.866144,30109122
2019-12-06,4.738000,4.797500,4.715000,4.783000,3.914430,13331490
2019-12-09,4.790000,4.837000,4.756000,4.756000,3.892334,22674629
2019-12-10,4.760000,4.772500,4.682000,4.760000,3.895607,19879773
2019-12-11,4.739000,4.808500,4.732500,4.764500,3.899290,25838344
2019-12-12,4.782000,4.939000,4.745000,4.921000,4.027369,37281439
2019-12-13,5.040000,5.069000,4.945000,4.949500,4.050694,51157541
2019-12-16,4.972500,5.068000,4.968000,5.065000,4.145220,19826011
2019-12-17,5.047000,5.062000,5.016000,5.048000,4.131307,14755944
2019-12-18,5.042000,5.110000,5.042000,5.095000,4.169772,25783109
2019-12-19,5.087000,5.154000,5.078000,5.154000,4.218058,79883031
2019-12-20,5.112000,5.166000,5.106000,5.142000,4.208238,69143939
2019-12-23,5.100000,5.123000,5.067000,5.090000,4.165680,36278575
2019-12-24,5.042000,5.070000,5.031000,5.061000,4.141946,2890976
2019-12-27,5.020000,5.084000,4.920000,5.039000,4.123942,10071772
2019-12-30,5.013000,5.045000,5.005000,5.005000,4.096116,9533134
2019-12-31,4.995000,5.004000,4.953000,4.983000,4.078111,5624533
2020-01-02,5.031000,5.124000,5.021000,5.110000,4.182048,11845254
2020-01-03,5.078000,5.078000,5.016000,5.054000,4.136218,13399207
2020-01-06,5.000000,5.039000,4.943500,5.032000,4.118213,11340344
2020-01-07,5.051000,5.079000,4.983000,5.010000,4.100208,10427840
2020-01-08,4.968500,5.069000,4.961000,5.058000,4.139491,12830856
2020-01-09,5.096000,5.117000,5.063000,5.080000,4.157496,19150316
2020-01-10,5.070000,5.078000,4.997000,4.997000,4.089569,12668991
2020-01-13,4.998000,5.004000,4.896000,4.922500,4.028597,18045437
2020-01-14,4.913000,4.915000,4.825500,4.859000,3.976629,31747299
2020-01-15,4.846500,4.852000,4.771500,4.776500,3.909111,18948045
2020-01-16,4.775500,4.826000,4.723500,4.787500,3.918113,36776862
2020-01-17,4.819000,4.854000,4.800000,4.806500,3.933662,28121545
2020-01-20,4.814000,4.814000,4.750000,4.764000,3.898880,9568853
2020-01-21,4.727500,4.765000,4.713500,4.748000,3.885786,35627364
2020-01-22,4.747500,4.758000,4.677000,4.698000,3.844866,15589639
2020-01-23,4.704000,4.738500,4.631000,4.664000,3.817040,30744031
2020-01-24,4.717000,4.746000,4.603500,4.607000,3.770391,16467529
2020-01-27,4.554500,4.586000,4.497000,4.531500,3.708601,19359016
2020-01-28,4.550000,4.629500,4.508000,4.600500,3.765071,16602129
2020-01-29,4.640000,4.692500,4.608500,4.667500,3.819904,25612284
2020-01-30,4.618500,4.708500,4.598000,4.708500,3.853459,30488948
2020-01-31,4.820000,4.850000,4.650000,4.668500,3.820723,31944522
2020-02-03,4.700000,4.718500,4.612500,4.665000,3.817858,19108172
2020-02-04,4.700000,4.815500,4.697000,4.785500,3.916476,18494719
2020-02-05,4.760000,4.927000,4.755000,4.927000,4.032280,39880725
2020-02-06,4.980500,5.137000,4.969500,5.100000,4.173864,49680163
2020-02-07,5.080000,5.230000,5.071000,5.227000,4.277802,27160014
2020-02-10,5.202000,5.290000,5.197000,5.242000,4.290078,27471586
2020-02-11,5.250000,5.282000,5.175000,5.233000,4.282712,18566382
2020-02-12,5.250000,5.339000,5.238000,5.329000,4.361279,20423238
2020-02-13,5.280000,5.305000,5.192000,5.298000,4.335908,21910450
2020-02-14,5.308000,5.313000,5.233000,5.243000,4.290896,12772542
2020-02-17,5.248000,5.268000,5.205000,5.228000,4.278620,10321285
2020-02-18,5.222000,5.249000,5.159000,5.168000,4.229516,15638567
2020-02-19,5.198000,5.210000,5.145000,5.174000,4.234426,13887811
2020-02-20,5.159000,5.213000,5.104000,5.104000,4.177138,19876679
2020-02-21,5.083000,5.125000,5.050000,5.110000,4.182048,22907866
2020-02-24,5.000000,5.000000,4.903000,4.912000,4.020004,37140245
2020-02-25,4.950000,4.950000,4.738000,4.754000,3.890697,34671828
2020-02-26,4.739000,4.787000,4.629000,4.741500,3.880466,32623012
2020-02-27,4.664500,4.697000,4.492500,4.547000,3.721287,49772385
2020-02-28,4.420000,4.420000,4.235000,4.334500,3.547375,68805196
2020-03-02,4.420000,4.431500,4.142000,4.286000,3.507682,41815748
2020-03-03,4.370000,4.454000,4.225500,4.249000,3.477402,36434406
2020-03-04,4.278000,4.358500,4.190000,4.326500,3.540828,34587171
2020-03-05,4.362000,4.364500,4.094000,4.123500,3.374692,36710532
2020-03-06,4.025000,4.087500,3.955500,4.032000,3.299808,31918480
2020-03-09,3.750000,3.750000,3.460000,3.499500,2.864008,66366176
2020-03-10,3.581000,3.769500,3.412000,3.451500,2.824724,49459649
2020-03-11,3.537500,3.714500,3.464500,3.542000,2.898790,48935944
2020-03-12,3.340500,3.402000,2.954000,3.008000,2.461761,71568740
2020-03-13,3.310000,3.436000,2.949000,3.044500,2.491633,43980635
2020-03-16,2.910000,2.980000,2.561000,2.637500,2.158543,62763655
2020-03-17,2.880500,2.890000,2.644000,2.820000,2.307901,67533309
2020-03-18,2.779000,2.973000,2.660000,2.708500,2.216649,44611317
2020-03-19,2.713500,2.840000,2.649000,2.803500,2.294398,36966237
2020-03-20,2.924000,3.000000,2.723000,2.886000,2.361916,47092505
2020-03-23,2.707500,2.939500,2.690000,2.784500,2.278848,28910030
2020-03-24,2.904000,3.091000,2.850000,3.091000,2.529689,28726223
2020-03-25,3.389500,3.450000,3.010000,3.263500,2.670864,33886871
2020-03-26,3.120000,3.322000,3.094000,3.279500,2.683958,19785735
2020-03-27,3.158000,3.200000,3.029000,3.104500,2.540738,46217167
2020-03-30,3.040500,3.080500,2.886500,2.920000,2.389742,26931196
2020-03-31,2.962000,2.986500,2.836500,2.915500,2.386059,37374919
2020-04-01,2.780000,2.798000,2.714000,2.727000,2.231790,272033720
2020-04-02,2.750000,2.760000,2.604000,2.674000,2.188414,286125680
2020-04-03,2.675000,2.769000,2.640000,2.748000,2.248976,38610042
2020-04-06,2.886000,2.995000,2.830000,2.971000,2.431480,31788687
2020-04-07,2.930000,3.066000,2.839000,2.927000,2.531819,28052329
2020-04-08,2.861000,2.976000,2.819000,2.959000,2.559499,31901910
2020-04-09,3.015000,3.068000,2.923000,3.004000,2.598423,22517280
2020-04-14,3.044000,3.050000,2.919000,2.935000,2.538739,32077677
2020-04-15,2.906000,2.906000,2.713000,2.731000,2.362282,252448857
2020-04-16,2.785000,2.820000,2.607000,2.624000,2.269728,246182533
2020-04-17,2.789000,2.789000,2.634000,2.664000,2.304327,48024970
2020-04-20,2.675000,2.689000,2.553000,2.658000,2.299137,22937450
2020-04-21,2.586000,2.597000,2.479000,2.479000,2.144305,31763399
2020-04-22,2.508000,2.585000,2.483000,2.585000,2.235993,29273112
2020-04-23,2.626000,2.756000,2.611000,2.704000,2.338927,38270928
2020-04-24,2.618000,2.655000,2.582000,2.593000,2.242913,35728310
2020-04-27,2.690000,2.706000,2.621000,2.686000,2.323357,20908593
2020-04-28,2.679000,2.927000,2.661000,2.927000,2.531819,33083545
2020-04-29,2.924000,3.162000,2.903000,3.162000,2.735091,37325855
2020-04-30,3.050000,3.114000,2.929000,2.987000,2.583719,52526746
2020-05-04,2.881000,2.881000,2.795000,2.800000,2.421966,47351517
2020-05-05,2.858000,2.908000,2.754000,2.800000,2.421966,24413213
2020-05-06,2.801000,2.820000,2.698000,2.719000,2.351902,27115732
2020-05-07,2.738000,2.744000,2.672000,2.693000,2.329412,18699794
2020-05-08,2.720000,2.735000,2.646000,2.727000,2.358822,13909990
2020-05-11,2.750000,2.780000,2.621000,2.647000,2.289623,18143211
2020-05-12,2.628000,2.729000,2.618000,2.662000,2.302597,16542907
2020-05-13,2.620000,2.641000,2.541000,2.541000,2.197934,35929526
2020-05-14,2.527000,2.623000,2.475000,2.609000,2.256753,28311572
2020-05-15,2.615000,2.678000,2.558000,2.578000,2.229939,19872381
2020-05-18,2.619000,2.744000,2.601000,2.722000,2.354497,23861942
2020-05-19,2.800000,2.820000,2.532000,2.599000,2.248103,42365870
2020-05-20,2.547000,2.599000,2.457000,2.583000,2.234263,35655355
2020-05-21,2.544000,2.618000,2.505000,2.566000,2.219558,21854172
